,Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline
0,0,385687,Fast X,2023-05-17,"['Action', 'Crime', 'Thriller']",English,7.4,1347.0,8363.473,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",340000000.0,"['Universal Pictures', 'Original Film', 'One Race', 'Perfect Storm Entertainment']",652000000.0,142.0,The end of the road begins.
1,1,603692,John Wick: Chapter 4,2023-03-22,"['Action', 'Thriller', 'Crime']",English,7.9,2896.0,4210.313,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",90000000.0,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg']",431769198.0,170.0,"No way back, one way out."
3,3,569094,Spider-Man: Across the Spider-Verse,2023-05-31,"['Action', 'Adventure', 'Animation', 'Science Fiction']",English,8.8,1160.0,2859.047,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",100000000.0,"['Columbia Pictures', 'Sony Pictures Animation', 'Marvel Entertainment', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']",313522201.0,140.0,It's how you wear the mask that matters
4,4,536437,Hypnotic,2023-05-11,"['Mystery', 'Thriller', 'Science Fiction']",English,6.5,154.0,2654.854,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.,70000000.0,"['Studio 8', 'Solstice Productions', 'Ingenious Media', 'Double R Productions']",0.0,94.0,Control is an illusion.
5,5,667538,Transformers: Rise of the Beasts,2023-06-06,"['Action', 'Adventure', 'Science Fiction']",English,7.4,195.0,2453.807,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",200000000.0,"['Skydance', 'Paramount', 'di Bonaventura Pictures', 'Bay Films', 'New Republic Pictures', 'Tom DeSanto/Don Murphy Production', 'Hasbro']",171045464.0,127.0,Unite or fall.
6,6,890771,The Black Demon,2023-04-26,"['Horror', 'Thriller']",English,6.5,151.0,1777.2,"Oilman Paul Sturges' idyllic family vacation turns into a nightmare when they encounter a ferocious megalodon shark that will stop at nothing to protect its territory. Stranded and under constant attack, Paul and his family must somehow find a way to get his family back to shore alive before it strikes again in this epic battle between humans and nature.",0.0,"['Mucho Mas Media', 'Silk Mass', 'The Avenue Entertainment', 'Highland Film Group']",0.0,100.0,Nature bites back.
7,7,447277,The Little Mermaid,2023-05-18,"['Adventure', 'Family', 'Fantasy', 'Romance']",English,6.2,616.0,1448.64,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",250000000.0,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']",414000000.0,135.0,"Watch and you'll see, some day I'll be, part of your world!"
8,8,76600,Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']",English,7.7,8493.0,1344.884,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",460000000.0,"['20th Century Studios', 'Lightstorm Entertainment']",2320250281.0,192.0,Return to Pandora.
9,9,713704,Evil Dead Rise,2023-04-12,"['Thriller', 'Horror']",English,7.1,1597.0,1285.781,"Three siblings find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.""",15000000.0,"['New Line Cinema', 'Ghost House Pictures', 'Renaissance Pictures', 'Pacific Renaissance Pictures', 'Wild Atlantic Pictures']",141512122.0,96.0,Mommy loves you to death.
10,10,1018494,Operation Seawolf,2022-10-07,"['War', 'Thriller', 'Action', 'Adventure', 'Mystery', 'Science Fiction', 'Drama']",English,6.0,41.0,1269.136,"During the last days of World War II, Germany, desperate for any last grasp to defeat the allied powers, looked to their last remaining weapons and soldiers. The German Navy and the last remaining U-Boats were formed together for one desperate last mission – a mission to attack the United States Homeland, known as Operation Seawolf. Captain Hans Kessler, a grizzled submarine commander from both World Wars, is called into service to make one mission a success and help turn the tide of the war.",15000.0,['Relis Pic'],23000.0,86.0,Last mission to win this war.
11,11,447365,Guardians of the Galaxy Vol. 3,2023-05-03,"['Science Fiction', 'Adventure', 'Action']",English,8.1,1932.0,1262.366,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",250000000.0,"['Marvel Studios', 'Kevin Feige Productions']",805801000.0,150.0,Once more with feeling.
13,13,640146,Ant-Man and the Wasp: Quantumania,2023-02-15,"['Action', 'Adventure', 'Science Fiction']",English,6.5,3229.0,1167.79,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",200000000.0,"['Marvel Studios', 'Kevin Feige Productions']",475766228.0,125.0,Witness the beginning of a new dynasty.
